Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
22,1007.7,1007.1,16.9,21.8,No,No
25,1010.6,1007.8,17.2,24.3,No,No
30,1007.6,1008.7,21,23.2,No,No
16,1017.6,1012.8,18.1,26.5,No,No
33,1010.8,1006,17.8,29.7,No,No
23,1009.2,1005.4,20.6,28.9,No,No
19,1009.6,1008.2,18.1,24.6,No,No
19,1013.4,1010.1,16.3,25.5,No,No
9,1008.9,1003.6,18.3,30.2,No,Yes
27,1007,1005.7,20.1,28.2,Yes,No
22,1011.8,1008.7,20.4,28.8,No,Yes
91,1010.5,1004.2,15.9,17,Yes,Yes
93,994.3,993,17.4,15.8,Yes,Yes
43,1001.2,1001.8,15.8,19.8,Yes,No
32,1009.7,1008.7,15.9,23.5,No,NA
28,1013.4,1010.3,17.3,26.2,NA,No
82,1012.2,1010.4,17.2,18.1,No,Yes
65,1005.8,1002.2,18,21.5,Yes,Yes
32,1009.4,1009.7,15.5,21,Yes,No
26,1019.2,1017.1,15.8,23.2,No,No
28,1019.3,1014.8,19.1,27.3,No,No
28,1013.6,1008.1,24.5,31.6,No,No
24,1007.8,1005.7,23.8,30.8,No,No
23,1011,1008.2,20.9,29,No,No
17,1012.9,1010.1,21.5,31.2,No,No
19,1010.9,1007.6,23.2,33,No,No
28,1006.8,1003.6,26.6,31.2,No,No
15,1005.2,1001.7,24.6,32.1,No,No
22,1004.8,1004.2,21.6,26.1,No,Yes
70,1005.6,1003.4,12.5,18.2,Yes,No
28,1006.1,1005.1,16.9,22.7,No,No
26,1004.5,1003.2,19.7,25.7,No,No
22,1014.4,1013.1,14.9,22.1,No,No
22,1018.7,1014.8,17.1,26.5,No,No
12,1015.1,1010.3,20.7,33.9,No,No
9,1012.6,1009.2,22.4,34.4,No,No
8,1010.9,1006.7,23.1,36.8,No,No
12,1007,1002.7,25.2,38.4,No,No
15,1011.9,1010.9,17.9,27.6,No,No
16,1017.8,1013.7,17.2,26.6,No,No
24,1013.4,1008.1,20.2,29.3,No,No
31,1009.9,1006.8,22.8,30,No,No
16,1014.1,1012.1,24.2,33.2,No,No
19,1015.7,1010.9,24.3,35.7,No,No
8,1011.6,1006.9,25.6,41.5,No,No
28,1008.4,1009.2,27.6,27.1,No,No
20,1014.1,1012.7,18,25.5,No,No
16,1019.7,1017.4,16,25.8,No,No
17,1019.7,1016.2,20.9,30.5,No,No
10,1015.8,1010.6,22,34.4,No,No
21,1010.1,1004.8,26.8,37.7,No,No
17,1009.6,1005.9,27.3,36.1,No,No
39,1005.3,997.8,26.1,33.1,No,Yes
28,1007.9,1003.9,22.8,33,Yes,No
21,1005.4,1007.6,23.3,29.7,No,No
10,1016.5,1014.6,21.2,32.1,No,No
12,1017.7,1014.6,23.4,36.5,No,No
25,1017.8,1014.1,25.8,36.2,No,No
15,1014.9,1011.6,28.2,39.2,No,No
13,1015.7,1011.8,29,40.1,No,No
11,1014.6,1010.2,29.2,41.2,No,No
11,1014.2,1010.5,29.9,42,No,No
9,1012.5,1008.7,32.4,41.9,No,No
21,1011.7,1007.4,28.8,37.1,No,No
21,1009.2,1005.7,27.2,36.2,No,No
26,1008.8,1004.7,25.5,35.2,No,No
15,1005.9,1002.6,26.5,39.7,No,No
8,1008,1005,28.7,41.6,No,No
11,1008.2,1003.8,29.6,43.4,No,No
19,1007,1006.5,34.5,38.5,No,No
31,1009.3,1007.8,18.7,29.4,No,No
30,1011.6,1008.5,17.4,25.8,No,No
24,1012.8,1011.1,16.7,24.9,No,No
69,1017,1017.3,17,17.3,No,Yes
